estado,votos_eleitorais,landon,landon_1932_rep,landon_1932_dem,landon_1932_soc,landon_1932_outros,landon_1932_nao_votou,landon_1932_nao_indicou,roosevelt,roosevelt_1932_rep,roosevelt_1932_dem,roosevelt_1932_soc,roosevelt_1932_outros,roosevelt_1932_nao_votou,roosevelt_1932_nao_indicou,lemke,outros_candidatos,total_pesquisa,roosevelt_real,landon_real,lemke_real,total_real,hoover_1932,roosevelt_ld_1932,outros_1932,total_pesquisa_1932,roosevelt_real_1932,hoover_real_1932,total_real_1932
Alabama,11,3060,1218,1298,3,3,412,126,10082,371,8530,50,1,736,394,68,63,13273,238136,35358,551,275244,4272,20161,713,25146,207910,34675,245354
Arizona,3,2337,1431,647,18,0,129,112,1975,248,1555,33,0,70,69,104,60,4476,86722,33433,3307,124163,2574,4910,362,7846,79264,36104,118251
Arkansas,9,2724,1338,953,7,9,274,143,7608,228,6655,16,8,373,328,138,70,10540,146765,32039,4,179423,3712,16225,458,20395,189602,28467,220562
California,22,89516,65360,16200,315,53,3519,4069,77245,15165,53520,1816,63,3578,3103,4977,2197,173935,1766836,836431,0,2638882,81834,148832,11310,241976,1324157,847902,2267966
Colorado,6,15949,11872,2714,131,12,637,583,10025,1747,7256,284,13,439,286,579,233,26786,295021,181267,9962,488684,11950,14304,1978,28232,250877,189617,457696
Connecticut,8,28809,22939,3376,111,7,1230,1146,13413,2584,9113,408,6,788,514,1489,440,44151,382129,278685,21805,690723,26469,16884,4867,48220,281632,288420,594183
Delaware,3,2918,2343,328,9,0,134,104,2048,503,1345,34,0,96,70,35,27,5028,69702,57236,442,127603,2384,2546,279,5209,54319,57073,112901
Florida,7,6087,3121,2051,13,5,594,303,8620,635,6924,41,0,614,406,195,119,15021,249117,78248,0,327365,9302,23606,1491,34399,206307,69170,276252
Georgia,12,3948,1239,1817,5,11,708,168,12915,379,10377,42,9,1569,539,35,101,16999,255364,36942,141,293175,4823,31849,872,37544,234118,19863,255590
Idaho,4,3653,2672,698,9,8,103,163,2611,398,1989,30,8,89,97,224,58,6546,125683,66256,7678,199617,3282,5159,641,9082,109479,71417,186625
Illinois,29,123297,85112,25885,573,69,6506,5152,79035,14793,54612,1542,57,4790,3241,6415,1987,210734,2282999,1570393,89439,3956522,76414,105920,12325,194659,1882304,1432756,3407926
Indiana,14,42805,31913,7644,134,49,1290,1775,26663,4513,20247,302,22,719,860,2166,467,72101,934974,691570,19407,1650897,40227,53465,4853,98545,862054,677184,1576927
Iowa,11,31871,22823,6164,135,26,1272,1451,18614,3190,13611,258,14,829,712,2829,349,53663,621756,487977,29687,1142733,23372,32956,2475,58803,598019,414433,1036687
Kansas,9,35408,25315,6489,147,15,1466,1976,20254,4182,14121,257,11,846,837,902,308,56872,464520,397727,497,865014,23529,29067,2694,55290,424204,349498,791978
Kentucky,11,13365,8957,2939,35,14,793,627,16592,1586,13594,95,6,703,608,732,172,30861,541944,369702,12501,926203,13114,24826,1220,39160,580574,394716,983063
Louisiana,10,3686,1366,1742,9,3,384,182,7902,445,6401,39,0,697,320,841,156,12585,292894,36791,0,329778,4004,19050,760,23814,249418,18853,268804
Maine,5,11742,8619,1567,25,35,713,783,5337,635,3820,41,1,289,551,418,79,17576,126333,168823,7581,304240,11462,8264,716,20442,128907,166631,298444
Maryland,8,17463,9754,4685,110,2,1479,1433,18341,1891,13540,328,5,1366,1211,614,258,36676,389612,231435,0,624896,12854,26955,3106,42915,314314,184184,511054
Massachusetts,17,87449,70567,10105,330,31,3213,3203,25965,5141,17499,744,16,1635,930,5415,1000,119829,942716,768613,118639,1840357,60712,34659,8585,103956,800148,736959,1580114
Michigan,19,51478,38526,8665,287,22,2113,1865,25686,5114,17402,748,26,1472,924,3376,820,81360,1016794,699733,75795,1805098,49728,69939,7403,127070,871700,739894,1664765
Minnesota,11,30762,22386,5958,109,3,972,1334,20733,3699,14855,511,22,861,785,5426,764,57685,698811,350461,74296,1129975,32613,52238,5731,90582,600806,363959,1002843
Mississippi,9,848,269,394,1,0,137,47,6080,88,5396,8,1,298,289,43,41,7012,157318,4443,0,162090,1051,9887,255,11193,140168,5180,146034
Missouri,15,50022,33551,11149,244,45,2975,2058,38267,4463,30608,455,15,1485,1241,2368,697,91354,1111043,697891,14630,1828635,39071,70882,3963,113916,1025406,564713,1609894
Montana,4,4490,3336,828,23,0,139,164,3562,660,2517,94,1,151,139,212,88,8352,159690,63598,5549,230512,5971,8508,962,15441,127286,78078,216479
Nebraska,7,18280,12436,4241,100,7,685,811,11770,1677,9045,177,2,418,451,862,160,31072,347445,247731,12847,608023,11405,20952,1361,33718,359082,201177,570137
Nevada,3,1003,658,272,0,0,36,37,955,163,716,2,0,42,32,36,19,2013,31925,11923,0,43848,701,1506,87,2294,28756,12674,41430
New Hampshire,4,9207,7504,1072,21,0,253,357,2737,479,1984,51,1,114,108,372,86,12402,108460,104642,4819,218114,6943,4625,515,12083,100680,103629,205520
New Jersey,16,58677,45361,8625,251,17,2383,2040,27631,5495,18642,1032,14,1548,900,2444,1102,89854,1083850,720322,9407,1820437,69828,58101,13746,141675,806394,775406,1629507
New Mexico,3,1625,1003,444,7,1,80,90,1662,212,1290,24,0,70,66,54,22,3363,106037,61727,924,169176,1270,1934,160,3364,95089,54217,151606
New York,47,162260,114574,33052,805,45,7125,6659,139277,18241,99938,4101,141,10604,6252,14656,7442,323635,3293222,2180670,0,5596398,164453,172765,37440,374658,2534959,1937963,4688614
North Carolina,13,6113,3532,1656,33,5,580,307,16324,820,13778,119,6,946,655,35,121,22593,616141,223283,2,839464,9963,28153,1196,39312,497566,208344,711501
North Dakota,4,4250,2787,1157,15,1,108,182,3666,694,2679,30,2,97,164,1111,87,9114,163148,72751,36708,273716,4878,8762,883,14523,178350,71772,256290
Ohio,26,77896,58232,13391,420,66,2747,3040,50778,9465,35864,1315,38,2454,1642,8156,1251,138081,1747140,1127855,132212,3012589,81512,109943,16399,207854,1301695,1227319,2609728
Oklahoma,11,14442,8393,4260,29,3,1050,707,15075,1289,12389,53,2,687,655,217,237,29971,501069,245122,0,749740,10692,22848,1944,35484,516468,188165,704633
Oregon,5,11747,8593,2014,72,6,521,541,10951,1966,7666,298,7,567,447,655,311,23664,266733,122706,21831,414021,8551,15433,1490,25474,213871,136019,368808
Pennsylvania,36,119086,86433,20097,543,115,6461,5437,81114,14502,56082,1340,55,5733,3402,7507,2121,209828,2353987,1690200,67468,4138426,93057,124675,23207,240939,1295948,1453540,2859177
Rhode Island,4,10401,8165,1269,32,5,511,419,3489,600,2470,90,0,208,121,794,134,14818,165238,125031,19569,311178,8856,7046,927,16829,146604,115266,266170
South Carolina,8,1247,216,658,2,0,300,71,7105,101,5943,6,6,701,348,20,54,8426,113791,1646,0,115437,1601,15657,386,17644,102347,1978,104407
South Dakota,4,8483,5712,2096,42,14,248,371,4507,859,3314,46,5,125,158,770,98,13858,160137,125977,10338,296472,5910,9131,576,15617,183515,99212,288438
Tennessee,11,9883,5785,2354,29,31,1178,506,19829,1419,15510,128,33,1938,801,100,166,29978,328083,146520,296,476538,11352,26635,1165,39152,259473,126752,390256
Texas,23,15341,6302,6774,43,3,1559,660,37501,1860,31262,149,5,2668,1557,558,346,53746,734485,103874,3281,843482,15317,74511,2556,92384,760348,97959,863426
Utah,4,4067,2906,851,21,1,155,133,5318,954,3935,69,8,189,163,119,74,9578,150246,64555,1121,216677,4744,8274,736,13754,116750,84795,206578
Vermont,3,7241,5829,822,20,2,239,329,2458,498,1756,37,0,84,83,174,63,9936,62124,81023,0,143689,4945,3301,340,8586,56266,78984,136980
Virginia,11,10223,5696,2848,57,18,1194,410,16783,1121,13346,141,14,1517,644,74,188,27268,234980,98336,233,334590,13440,34191,1609,49240,203979,89637,297942
Washington,8,21370,14841,4800,67,30,806,826,15300,2281,11423,278,53,709,556,683,454,37807,459579,206892,17463,692338,16717,30324,2776,49817,353260,208645,614814
West Virginia,8,13660,10060,2589,30,15,424,542,10235,1278,8229,52,11,305,360,199,116,24210,502582,325358,0,829945,14365,23153,1177,38695,405124,330731,743774
Wisconsin,12,33796,22587,8495,157,12,1142,1403,20781,3144,15578,582,4,799,674,3642,959,59178,802984,380828,60297,1258560,21375,44054,5047,70476,707410,347741,1114808
Wyoming,3,2526,1830,510,15,1,83,87,1533,242,1144,27,1,63,56,78,15,4152,62624,38739,1653,103382,2201,2913,327,5441,54370,39583,96962
