estado,sigla,votos_eleitorais,real36_rep,ld36_rep,vies_amostra32,prev_aditiva,prev_corrigida,prev_sem_pesquisa,erro_bruto_pp,erro_corrigido_pp
Alabama,AL,11,0.12928,0.23284,-0.00398,0.20094,0.14757,0.15859,10.35587,1.82879
Arizona,AZ,3,0.27825,0.54198,0.11714,0.51099,0.3371,0.2998,26.3727,5.88509
Arkansas,AR,9,0.17919,0.26365,0.03961,0.208,0.13244,0.14316,8.44619,-4.67452
California,CA,22,0.3213,0.53679,0.14157,0.57239,0.30598,0.36532,21.54917,-1.53217
Colorado,CO,6,0.38058,0.61404,0.14128,0.58933,0.38407,0.39852,23.34544,0.34883
Connecticut,CT,8,0.42173,0.68232,0.15034,0.57773,0.44404,0.46336,26.05921,2.23119
Delaware,DE,3,0.4509,0.5876,0.11528,0.61639,0.38168,0.46766,13.66984,-6.92124
Florida,FL,7,0.23902,0.41388,0.0433,0.38231,0.28211,0.24761,17.48608,4.30883
Georgia,GA,12,0.12638,0.23412,0.03893,0.18081,0.10445,0.09906,10.77408,-2.1934
Idaho,ID,4,0.34519,0.58317,0.1341,0.58915,0.36062,0.3686,23.79807,1.54232
Illinois,IL,29,0.40754,0.60938,0.11183,0.62249,0.40844,0.39928,20.18444,0.09035
Indiana,IN,14,0.42518,0.61618,0.11795,0.62678,0.40881,0.40546,19.10054,-1.63721
Iowa,IA,11,0.43972,0.6313,0.14221,0.62571,0.39909,0.37885,19.15717,-4.06318
Kansas,KS,9,0.46127,0.63613,0.1332,0.64049,0.41275,0.41448,17.48571,-4.85208
Kentucky,KY,11,0.40553,0.44614,-0.0216,0.5052,0.37453,0.37572,4.06071,-3.10044
Louisiana,LA,10,0.11159,0.31809,0.10296,0.21468,0.12621,0.09329,20.64933,1.46124
Maine,ME,5,0.57198,0.68751,0.05812,0.67027,0.53873,0.50558,11.55321,-3.32441
Maryland,MD,8,0.37265,0.48774,0.01608,0.53432,0.38189,0.34625,11.50858,0.92399
Massachusetts,MA,17,0.44913,0.77106,0.23094,0.61392,0.45271,0.43882,32.19278,0.35819
Michigan,MI,19,0.40764,0.66712,0.15193,0.71068,0.42719,0.4226,25.94799,1.95451
Minnesota,MN,11,0.334,0.59738,0.1439,0.59027,0.36568,0.35375,26.33744,3.16779
Mississippi,MS,9,0.02747,0.1224,0.0229,0.06195,0.00851,0.07251,9.49354,-1.89579
Missouri,MO,15,0.3858,0.56657,0.11367,0.56637,0.3633,0.33367,18.07688,-2.25045
Montana,MT,4,0.28482,0.55763,0.15977,0.52543,0.31024,0.35735,27.28005,2.54177
Nebraska,NE,7,0.41623,0.60832,0.14785,0.61492,0.37027,0.3364,19.2088,-4.59569
Nevada,NV,3,0.27192,0.51226,0.14517,0.50055,0.27854,0.29392,24.03408,0.66278
New Hampshire,NH,4,0.49104,0.77085,0.20284,0.67787,0.47908,0.46118,27.98054,-1.19638
New Jersey,NJ,16,0.39925,0.67986,0.14944,0.62423,0.44317,0.4503,28.06024,4.39156
New Mexico,NM,3,0.36794,0.49437,0.04689,0.46112,0.35727,0.3409,12.64323,-1.06657
New York,NY,47,0.39838,0.53811,0.0515,0.4837,0.39675,0.40046,13.97332,-0.16264
North Carolina,NC,13,0.266,0.27245,-0.07521,0.30621,0.2547,0.28482,0.64563,-1.12991
North Dakota,ND,4,0.3084,0.53689,0.15816,0.46621,0.28943,0.27661,22.84884,-1.89729
Ohio,OH,26,0.3923,0.60537,0.07375,0.66492,0.44325,0.44621,21.30767,5.09503
Oklahoma,OK,11,0.3285,0.48928,0.09954,0.43753,0.29987,0.25861,16.07797,-2.86234
Oregon,OR,5,0.31508,0.51753,0.12962,0.54975,0.29857,0.36406,20.24506,-1.65096
Pennsylvania,PA,36,0.41793,0.59484,0.02804,0.6961,0.47927,0.48408,17.6902,6.13344
Rhode Island,RI,4,0.43074,0.74881,0.23522,0.63207,0.42531,0.40548,31.80703,-0.54317
South Carolina,SC,8,0.01426,0.14931,0.02707,0.0755,0.03293,0.05901,13.50467,1.86756
South Dakota,SD,4,0.4403,0.65304,0.17851,0.61103,0.38331,0.32887,21.27373,-5.69967
Tennessee,TN,11,0.30872,0.33263,-0.04113,0.36197,0.27986,0.31218,2.39054,-2.88585
Texas,TX,23,0.1239,0.29032,0.06199,0.23393,0.13903,0.13304,16.64167,1.51284
Utah,UT,4,0.30053,0.43335,0.0243,0.48966,0.31977,0.39217,13.28171,1.92321
Vermont,VT,3,0.56601,0.74657,0.12098,0.73087,0.53587,0.52376,18.05593,-3.01475
Virginia,VA,11,0.29502,0.37855,-0.00899,0.40166,0.29718,0.29281,8.35222,0.21598
Washington,WA,8,0.31043,0.58277,0.13894,0.59871,0.35632,0.34916,27.23361,4.58947
West Virginia,WV,8,0.39297,0.57167,0.06067,0.63824,0.42206,0.41465,17.86948,2.9086
Wisconsin,WI,12,0.3217,0.61924,0.16432,0.62211,0.36829,0.31308,29.75389,4.65894
Wyoming,WY,3,0.38218,0.62232,0.13062,0.61324,0.40334,0.39056,24.01399,2.11567
